,Date,Day,Country-Retailer,Stage,Brand,Name,Nett Weight,Weight (g),Price (SGD),Price per 100g,In Stock,Country of Origin,Dietary Attributes
1,2022/06/26,Sun,SG-Fairprice,Stage 1,Abbott Grow,Abbott Grow Baby Infant Milk Formula - Step 1,900g,900,18.30,2.03,Yes,Singapore,Halal
2,2022/06/26,Sun,SG-Fairprice,Stage 1,Abbott Isomil,Abbott Isomil Soy Infant Formula - Stage 1,850g,850,57.95,6.82,Yes,Netherlands,"Halal, Lactose-Free, Vegetarian"
3,2022/06/26,Sun,SG-Fairprice,Stage 1,Abbott Isomil,Abbott Isomil Soy Infant Formula - Stage 1,400g,400,28.50,7.12,Yes,Netherlands,"Lactose-Free, Vegetarian"
4,2022/06/26,Sun,SG-Fairprice,Stage 1,Abbott Similac,Abbott Similac Infant Milk Formula - Stage 1,850g,850,61.70,7.26,Yes,Ireland,"Gluten-Free, Halal"
5,2022/06/26,Sun,SG-Fairprice,Stage 1,Abbott Similac,Abbott Similac Infant Milk Formula - Stage 1,400g,400,30.50,7.62,Yes,Ireland,"Gluten-Free, Halal"
6,2022/06/26,Sun,SG-Fairprice,Stage 1,Abbott Similac,Abbott Similac NeoSure Special Infant Milk Formula - Stage 1,850g,850,62.90,7.40,Yes,Spain,
7,2022/06/26,Sun,SG-Fairprice,Stage 1,Abbott Similac,Abbott Similac RS Special Infant Milk Formula - Stage 1,850g,850,65.95,7.76,Yes,Spain,
8,2022/06/26,Sun,SG-Fairprice,Stage 1,Abbott Similac,Abbott Similac Total Comfort Infant Milk Formula - Stage 1,820g,820,66.90,8.16,Yes,Spain,Halal
9,2022/06/26,Sun,SG-Fairprice,Stage 1,Aptamil,Aptamil Gold+ H.A Infant Milk Formula,600g,600,44.70,7.45,Yes,Thailand,
10,2022/06/26,Sun,SG-Fairprice,Stage 1,Aptamil,Aptamil Gold+ Infant Milk Formula,900g,900,63.00,7.00,Yes,New Zealand,
11,2022/06/26,Sun,SG-Fairprice,Stage 1,BabyBio,BabyBio Organic Optima Infant Formula (0-12 months),800g,800,43.90,5.49,Yes,France,
12,2022/06/26,Sun,SG-Fairprice,Stage 1,BabyBio,Babybio Organic Goat Milk Infant Formula (0-12 months),800g,800,56.90,7.11,Yes,France,Goat's Milk
13,2022/06/26,Sun,SG-Fairprice,Stage 1,Bellamy's,Bellamy's Organic Follow-On Milk Powder - Step 1,800g,800,58.90,7.36,Yes,Australia,Organic
14,2022/06/26,Sun,SG-Fairprice,Stage 1,Bellamy's,Bellamy's Organic Infant Milk Formula - Step 1,900g,900,54.90,6.10,Yes,Australia,Organic
15,2022/06/26,Sun,SG-Fairprice,Stage 1,Bimbosan,Bimbosan Organic Infant Milk Formula - Stage 1,400g,400,31.90,7.97,Yes,Switzerland,Organic
16,2022/06/26,Sun,SG-Fairprice,Stage 1,Dumex,Dumex Dulac Infant Milk Formula - Step 1,800g,800,14.80,1.85,Yes,Indonesia,Halal
17,2022/06/26,Sun,SG-Fairprice,Stage 1,Dumex,Dumex Mamil Gold Infant Milk Formula,850g,850,56.00,6.59,Yes,Germany,Halal
18,2022/06/26,Sun,SG-Fairprice,Stage 1,Dumex,Dumex Mamil Gold Infant Soy Milk Formula,900g,900,53.00,5.89,Yes,Indonesia,Halal
19,2022/06/26,Sun,SG-Fairprice,Stage 1,Enfamil,Enfamil A+ Infant Milk Powder - A.R. (0 to 12 Months),900g,900,63.20,7.02,Yes,Netherlands,Halal
20,2022/06/26,Sun,SG-Fairprice,Stage 1,Enfamil,Enfamil A+ Infant Milk Powder Formula - Soy (0 - 12 Months),624g,624,44.60,7.15,Yes,USA,
21,2022/06/26,Sun,SG-Fairprice,Stage 1,Enfamil,Enfamil Pro A+ Follow-On Milk Formula - Stage 1,900g,900,70.35,7.82,Yes,Netherlands,
22,2022/06/26,Sun,SG-Fairprice,Stage 1,Enfamil,Enfamil Pro A+ Infant Milk Formula - Stage 1,1.8kg,1800,134.10,7.45,Yes,Netherlands,
23,2022/06/26,Sun,SG-Fairprice,Stage 1,Enfamil,Enfamil Pro A+ Infant Milk Formula - Stage 1,400g,400,32.95,8.24,Yes,Netherlands,Halal
24,2022/06/26,Sun,SG-Fairprice,Stage 1,Fairprice Gold,FairPrice Gold Newborn Infant Milk Formula - Stage 1,900g,900,29.00,3.22,Yes,Australia,Halal
25,2022/06/26,Sun,SG-Fairprice,Stage 1,Frisolac,Frisolac Gold Infant Formula,400g,400,28.90,7.22,Yes,Netherlands,Halal
26,2022/06/26,Sun,SG-Fairprice,Stage 1,Frisolac,Frisolac Gold Infant Formula,1.8kg,1800,115.00,6.39,Yes,Netherlands,Halal
27,2022/06/26,Sun,SG-Fairprice,Stage 1,Frisolac,Frisolac Gold Special Infant Milk Formula - AR (Reflux),400g,400,29.60,7.40,Yes,Netherlands,Halal
28,2022/06/26,Sun,SG-Fairprice,Stage 1,Frisolac,Frisolac Gold Special Infant Milk Formula - HA,400g,400,29.60,7.40,Yes,Netherlands,Halal
29,2022/06/26,Sun,SG-Fairprice,Stage 1,Hipp,Hipp Organic Combiotic Infant Milk Stage 1,800g,800,59.00,7.38,Yes,Germany,Organic
30,2022/06/26,Sun,SG-Fairprice,Stage 1,Hipp,Hipp Organic Infant Milk 1,300g,300,19.90,6.63,Yes,Germany,Organic
